	code	name	changepercent	trade	open	high	low	settlement	volume	turnoverratio	amount	per	pb	mktcap	nmc
2575	300134	大富科技	-2.411	10.12	10.37	10.38	9.8	10.37	10674818	1.49839	106876171	-22.0	1.546	776707.982072	720967.022072
2576	300133	华策影视	-2.355	6.22	6.36	6.55	6.19	6.37	32516955	2.26347	205957106	-7.494	2.006	1092029.042022	893565.552052
2577	300132	青松股份	-2.344	18.33	18.32	18.56	17.57	18.77	13354764	2.90242	240288027	19.134	3.132	946892.764038	843409.834371
2578	300131	英唐智控	-3.776	7.9	8.14	8.17	7.87	8.21	39143791	4.60654	313348799	263.333	5.888	844925.87654	671297.95197
2579	300130	新国都	-3.721	10.09	10.27	10.41	10.06	10.48	6715020	1.8964	68507103	19.784	1.968	493600.053502	357280.013575
2580	300129	泰胜风能	2.1310000000000002	7.19	7.52	7.72	7.15	7.04	63647002	11.25838	473942844	33.661	2.097	517071.191064	406472.1981
2581	300128	锦富技术	-5.932	3.33	3.63	3.63	3.32	3.54	33844259	3.14088	115458316	246.667	3.043	364340.432196	358821.27288
2582	300127	银河磁体	-2.609	17.17	17.55	17.75	17.16	17.63	7745500	3.40437	134938096	37.326	4.418	554842.30012	390645.21238
2583	300126	锐奇股份	-4.821	6.91	7.19	7.19	6.9	7.26	10216992	4.8499300000000005	71614072	230.333	2.049	210034.7016	145567.807539
2584	300125	聆达股份	0.217	13.88	13.85	14.13	13.68	13.85	1337921	0.50724	18580454	231.333	4.801	368513.99306	366107.560552
2585	300124	汇川技术	2.318	101.09	99.25	104.95	99.25	98.8	20908930	1.4861300000000002	2144531083	174.293	17.532	17384684.25496	14222785.412176
2586	300123	亚光科技	-3.06	11.72	12.0	12.28	11.48	12.09	32984546	3.65671	392881791	41.857	2.282	1180943.324556	1057178.107544
2587	300122	智飞生物	1.8290000000000002	167.0	168.0	176.36	163.93	164.0	24547438	2.72638	4151382410	112.914	35.982	26720000.0	15036162.7175
2588	300121	阳谷华泰	0.522	11.55	11.47	11.93	11.47	11.49	4677319	1.29826	54686997	24.574	2.7279999999999998	433277.12043	416118.612525
2589	300120	经纬辉开	-5.699	8.77	9.3	9.3	8.7	9.3	8682017	2.28566	77024879	26.528	1.6360000000000001	407347.463838	333126.532878
